mssv,IT001,IT003,IT004,IT005,IT007,MA003,MA004,MA005,MA006,IT002
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,6.7,8.4,8.3,6.6,7.0,8.7,8.8,7.6,7.5,7.3
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,7.7,6.2,7.6,7.4,7.9,7.2,7.1,6.9,9.2,5.1
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,5.7,5.2,5.5,5.5,7.5,8.2,7.1,5.6,5.5,5.4
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,8.4,9.3,9.0,8.8,8.6,9.1,8.5,9.4,9.9,7.8
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,8.7,5.3,8.3,7.6,9.0,7.1,7.2,6.8,5.8,7.3
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,7.5,7.4,7.7,8.0,9.2,7.5,9.0,8.3,8.9,9.1
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,8.8,8.9,6.5,8.3,7.7,7.4,8.5,6.7,8.9,7.3
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,9.4,9.0,9.3,7.5,7.9,9.7,9.6,9.2,9.7,8.3
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,6.7,8.4,7.6,7.4,8.2,7.2,9.8,8.9,9.4,6.7
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,9.6,9.3,9.0,9.0,9.7,9.4,9.4,8.6,9.4,9.1
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,8.3,7.7,8.8,7.3,8.2,10.0,9.0,10.0,9.8,7.8
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,9.8,9.2,8.8,8.9,8.2,8.5,9.5,8.4,9.0,8.6
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,6.9,5.6,8.2,9.0,5.7,7.1,5.5,6.0,7.1,8.2
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,7.4,7.6,7.1,7.7,7.2,8.0,6.6,7.0,6.7,5.0
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,6.0,6.2,6.1,5.0,6.1,8.2,7.5,7.4,7.0,6.0
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,8.6,6.9,6.0,6.1,5.0,6.3,7.0,7.1,5.2,5.4
03FF368EXPvAibaEXe8JVGhFAfQ9U/upCLkDhtRc,8.5,8.7,7.6,6.3,7.7,8.0,8.4,7.8,8.2,8.5
0401F5D8XPvAibaEXe/33FMzfi5mea/1WCTgCGuE,8.5,8.0,6.3,8.0,7.5,6.6,7.8,6.6,8.9,7.5
0415BA59XPvAibaEXe/f/Q1bKxMyhFreBFnAqn32,6.3,7.6,6.0,6.8,7.6,7.2,6.3,8.3,8.7,7.3
041F7D4CXPvAibaEXe9lyNw7zdm99jpjj8mjiV3M,7.7,8.5,8.3,8.4,8.2,8.2,8.5,8.6,8.3,5.9
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,5.8,6.8,6.0,5.9,6.6,6.4,7.1,6.6,8.5,3.6
042F0E58XPvAibaEXe8p9EUNm1rzjknB/SCShuuv,8.5,3.9,6.8,7.0,3.9,3.6,6.1,6.5,6.8,4.5
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,6.3,9.4,8.4,7.5,7.1,8.0,5.1,8.6,8.6,8.3
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,7.7,6.6,7.1,5.8,5.8,5.4,6.1,6.7,5.0,6.4
0446F74EXPvAibaEXe8yiBl4rYjVW0cRgGdXUNYX,9.9,9.4,9.9,9.0,9.0,9.7,9.5,9.4,8.2,9.3
044CC105XPvAibaEXe9lyNw7zdm99sNZWsMMd7wW,6.8,5.6,5.3,6.0,6.4,5.5,7.8,6.1,6.7,7.0
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7,8.0,8.4,9.5,8.1,7.1,7.0,8.2,8.9,5.0,6.4
045412CEXPvAibaEXe+6wkETMZCyIZAB7oEBy8dg,7.8,7.6,7.5,8.8,8.9,8.8,7.9,8.4,10.0,7.9
0457DCC0XPvAibaEXe/CDMtnBauOUNMC60BG9GmS,8.3,8.4,7.8,7.4,8.3,6.9,7.6,10.0,6.4,7.8
045BA438XPvAibaEXe+2WNqGC1yvSPNgdEGhoQQx,7.8,9.6,9.3,7.8,8.7,8.8,9.3,9.3,8.1,9.3
0460817DXPvAibaEXe/57ZZLpsI5pdWpukWEzeJA,8.7,7.7,6.9,5.8,6.3,7.4,6.3,7.4,7.4,8.1
0463ACC3XPvAibaEXe+Ps8zYokGtSapa8Xbcuvzs,6.4,8.7,5.0,6.6,7.6,7.2,8.7,8.5,5.6,8.5
046DFC1EXPvAibaEXe8d5+4VMyfVsJ8BKuqNRrBF,7.5,8.8,6.5,6.8,8.4,7.1,8.7,8.8,8.3,8.7
04703EC6XPvAibaEXe+pyJpvsB6nZNTWzQVDye30,3.8,6.4,5.1,5.8,4.9,5.0,5.0,5.3,5.8,2.0
048FA4C0XPvAibaEXe87zPkGv/Pdbr2144f7+cX9,8.2,8.8,6.9,7.9,8.8,5.9,9.2,7.0,6.5,8.1
04937B4DXPvAibaEXe+KnWgScvZ27EaSNJL9HdvK,6.6,8.7,5.6,6.6,8.2,7.1,5.6,8.3,6.3,7.2
04989E41XPvAibaEXe86mMJZ3W/SqcY8mLHhMdwA,8.3,6.4,8.3,7.6,8.8,8.5,7.0,7.4,10.0,6.3
04993E46XPvAibaEXe/c+AA7R58MU9q6TAEVnxuT,8.9,9.6,8.9,9.9,9.5,8.6,9.5,9.0,10.0,9.0
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,7.5,9.1,8.2,6.9,7.9,7.2,9.2,8.5,5.9,8.8
049B1D99XPvAibaEXe+7yjglV2dMp28RxoCMvatp,7.6,7.0,8.0,6.9,8.0,5.6,8.3,8.5,6.4,6.5
04AEE489XPvAibaEXe9u8ftW5AKWETBFyE+T26n4,7.6,7.1,6.3,6.4,7.8,8.6,8.9,7.7,9.2,7.0
04BB5201XPvAibaEXe9wR386kYOWu9pD/KusWr/q,9.2,9.0,9.7,9.1,9.7,9.2,8.4,10.0,9.5,9.0
04C5C23BXPvAibaEXe8OUmHa5DLhUTJw8W+5VW8D,8.3,8.6,9.7,9.0,9.0,10.0,9.8,8.8,9.7,8.9
04C81950XPvAibaEXe/ly4CLNSveRDKW02PJnm/0,10.0,9.3,7.7,9.5,8.7,9.1,9.0,9.4,9.6,7.2
04CA893BXPvAibaEXe/SouBySQ9Uj8rioKR0JeF/,6.6,5.2,5.2,5.8,0.3,6.8,8.0,3.3,0.0,5.5
04CD33EBXPvAibaEXe++B0JyCbXA1LAC7v3DyD0t,8.0,5.8,8.2,6.5,7.6,5.4,8.4,6.2,6.8,5.5
04CDB750XPvAibaEXe81fV8vPRwD6JYmHnM75CHO,8.8,8.8,9.7,7.6,8.7,9.4,9.7,10.0,9.9,7.5
04E907A8XPvAibaEXe+duwZbUJ/33VkSKofqHhHZ,8.0,8.6,9.2,8.4,8.8,8.8,9.8,9.2,9.1,9.1
04FDAA30XPvAibaEXe/Md8T4y692B3u2dfN+Z+ox,3.3,3.9,3.9,4.5,5.7,3.2,1.2,6.2,5.6,6.0
0503FE6BXPvAibaEXe/el9TRAKM7gRqt8tonkLHU,6.4,7.0,5.6,6.0,4.6,6.3,5.5,6.0,7.7,6.6
05088522XPvAibaEXe8Fsd3dnKA7Bc1+6v7wPmGw,5.1,5.8,8.4,7.0,8.3,6.8,8.1,8.4,7.5,5.2
052DD070XPvAibaEXe915NmCViXOMIckuNlCM3i6,6.5,5.0,5.1,6.5,5.8,5.5,8.0,7.8,6.3,7.0
0530224EXPvAibaEXe8Dld2HmzmH+kCtWglGcaLd,9.3,9.4,9.3,9.6,8.8,8.4,9.9,7.1,9.1,7.1
054AFCA2XPvAibaEXe8iDpfibljbVA5Sfr30nHDC,8.1,8.9,9.6,9.3,9.8,9.0,8.6,9.4,8.8,9.5
055BAF5DXPvAibaEXe/0VyaRB0LQpI2nprMmUPej,8.9,8.6,9.1,9.0,7.4,9.7,9.2,9.2,9.1,7.3
0571BDDAXPvAibaEXe8zN2KKhdLFutRJ2ofD5gnd,6.0,5.9,8.3,6.4,7.9,6.3,7.9,7.1,7.0,7.3
0572F12EXPvAibaEXe80CrbkBDr5tWwm+CyP6i8i,6.5,8.2,8.9,7.7,8.2,7.1,9.3,7.8,5.9,8.0
05788578XPvAibaEXe/QkTB1xN5MPFI5BYaSFqcG,8.1,8.2,9.2,8.5,9.0,8.8,8.7,7.7,9.2,7.6
058F3258XPvAibaEXe+q0E3QguGBpZhJA/lqgre3,9.1,6.0,9.0,7.4,7.5,8.7,6.3,9.4,7.5,6.7
0597247FXPvAibaEXe+NyYotv4FWdZdBHNs2i/Tz,7.3,4.0,8.3,7.8,5.5,8.4,8.3,6.9,9.9,3.0
05A4E85BXPvAibaEXe+6dFHuhEUn/rcqr3jRvGcp,8.7,7.0,8.7,7.6,8.2,8.7,7.3,6.6,8.6,8.9
05C14B33XPvAibaEXe8iOnzuCL8V+Iz8A3Kq02hS,8.5,5.5,7.1,7.3,8.0,7.3,6.8,6.0,7.6,5.5
05DB198AXPvAibaEXe/GvjCS9SJu0T1XKIlvK8Wd,8.8,8.7,7.4,8.4,8.1,9.4,8.3,8.6,9.7,9.3
05E17E2BXPvAibaEXe/RTfMBxsNERftZF2fTACpt,8.3,8.3,7.1,7.6,8.1,8.2,6.9,9.4,9.5,6.7
05EE77E5XPvAibaEXe+fBpTg8OXousIA2IYzVnHo,6.6,8.0,8.8,9.8,8.9,8.8,8.9,8.8,7.1,8.2
05F1A443XPvAibaEXe+HLUCsScXdBrz7llnxuYa4,6.5,6.5,6.4,7.3,6.2,7.6,5.7,7.1,6.5,5.8
05FB97EDXPvAibaEXe+1n9LzrMgTlwuXodOCiGW6,3.1,5.0,5.0,6.0,4.6,2.6,7.0,0.0,6.2,3.8
061D03BCXPvAibaEXe91UcttbrYag6MuRitfVOUg,8.8,4.8,8.0,5.3,3.7,6.1,5.3,5.3,6.1,8.2
0624DFA3XPvAibaEXe/PfwiDaLddEgIUBZJiTywN,6.0,1.5,3.3,5.6,6.7,6.1,4.2,7.0,8.7,0.5
06251B58XPvAibaEXe+ywvHYTnIXuL2YQZYUxAEG,7.2,5.1,5.2,5.3,5.0,6.6,7.0,7.1,7.9,4.5
06263756XPvAibaEXe9tEkXNWDh2mnSTognW2I29,7.0,7.0,9.0,6.8,8.6,7.1,6.8,8.4,9.1,7.8
062A7C5DXPvAibaEXe9sM5Z76WtjcyvdxUCpINfg,9.2,9.0,8.5,7.1,7.5,9.7,8.1,8.4,8.7,8.7
063FA88DXPvAibaEXe+ItThaeWSaTndzLvy0hCWF,9.4,9.5,9.4,7.9,9.2,5.9,7.5,6.1,6.3,6.9
064389C5XPvAibaEXe9RaPDysYOKrMtjiEUbiJCc,8.2,8.4,9.5,7.3,9.4,9.3,8.7,7.7,9.1,9.0
064464DAXPvAibaEXe8JyzRlwVelIy8hQn+xxXDa,8.6,8.9,9.1,7.1,8.4,10.0,9.7,9.1,9.4,7.4
064F9755XPvAibaEXe/GEP39G15BdU1hEsk0HGhQ,7.2,6.4,6.1,6.9,6.8,6.9,7.8,7.5,6.5,5.4
0653BDF3XPvAibaEXe9YgNnR0JxPhVp7ceoQS10H,7.4,5.3,8.7,6.2,7.0,6.2,5.9,8.0,7.8,6.2
067C9634XPvAibaEXe8m7ybKj0ITr1/SgC/4nnRo,9.4,6.8,7.7,7.5,9.2,5.0,8.0,6.8,6.8,8.2
0691AA94XPvAibaEXe++R9hzjt1s7wndXGR/a0YH,5.9,5.5,6.7,7.3,5.4,8.0,8.5,5.7,5.1,7.0
0693A653XPvAibaEXe//vGIJhS4ZeCniAFwythOe,8.7,6.0,1.5,5.9,4.4,8.0,5.5,7.9,9.3,7.0
06942BB3XPvAibaEXe9F+oU8wuNbqO0ZSSBkHohm,6.4,7.0,5.3,6.3,6.9,7.7,7.6,8.1,8.0,5.8
06B1E339XPvAibaEXe+9uXUaDIzyiCvG6Z0IL8M6,9.2,7.7,7.4,8.3,7.3,8.6,7.1,6.7,6.8,5.3
06D33082XPvAibaEXe8srAaK3cpz/7AD31CqVMfx,8.8,8.9,6.0,7.0,6.1,6.3,9.3,8.3,7.7,8.0
06D413B1XPvAibaEXe+3bWVxnzRRwNg6g5IkrIob,9.3,8.2,5.5,6.0,5.7,8.8,8.4,6.9,5.1,7.9
06DEC3FFXPvAibaEXe/twT+sf632fctdpzTwNzBW,8.2,7.2,6.4,5.9,7.5,7.0,7.8,7.9,8.4,6.6
06EAC365XPvAibaEXe/4brcB/U30UuVMaZ98a2m1,7.7,5.7,5.0,7.0,5.9,5.4,5.0,6.0,5.8,6.3
06F130EDXPvAibaEXe96mG7+vayRPjKbnr1Br6bi,9.0,9.3,8.9,7.8,7.9,8.3,6.7,8.0,8.8,6.2
07041016XPvAibaEXe+iIJOpfrvDw0cyN3jgSrMf,6.7,6.9,6.3,7.3,7.8,7.7,9.5,9.3,9.2,8.0
07069D8FXPvAibaEXe+IUXdezTp2c1S1SSP0JNZK,8.9,8.5,7.9,8.3,7.8,9.3,8.3,9.3,7.8,7.1
0718948FXPvAibaEXe9HkCcrMxoMGZDQ7OJk9EOZ,7.8,9.2,9.7,8.6,9.6,9.0,9.9,9.6,8.4,9.3
071ED53EXPvAibaEXe90z1QOLCQ2gtGCVejLRT52,9.2,7.4,8.2,9.3,8.5,9.8,8.8,8.0,9.5,8.6
07361D61XPvAibaEXe+RuJt6KkmrDMU9KkGea7Z9,7.7,8.2,8.9,7.8,8.6,7.3,8.8,7.8,9.5,7.6
07368C8DXPvAibaEXe9tEkXNWDh2mm8KSYXhI9TW,5.4,6.8,5.5,7.0,7.5,6.0,7.9,8.1,7.3,6.9
073CCB16XPvAibaEXe+Fy1phPq2H8pTMzaqE19dh,6.8,6.7,7.4,8.8,7.7,6.8,8.1,6.4,6.2,7.1
07401B1CXPvAibaEXe+g4Lk2o86SJ077zo0VZ566,8.4,9.1,8.5,8.9,8.3,7.4,9.0,10.0,9.4,8.0
0747BAEDXPvAibaEXe+iM+1kwvQGhP2U/PHYntkn,7.1,7.1,7.8,7.1,8.2,8.0,7.7,7.9,7.3,8.5
074D6770XPvAibaEXe8XtTI6VHhlKNbBRQvxJav8,5.9,7.2,6.4,6.1,6.8,5.2,7.1,5.8,5.0,5.4
075D9A76XPvAibaEXe9tfuiDUlISNF0foU5mrvy9,8.5,7.4,6.9,6.3,6.9,9.2,7.3,8.8,8.7,8.5
07608346XPvAibaEXe/baq/wvVlH/ioEKQZTR4v2,7.3,6.5,6.6,8.0,7.8,8.8,8.2,8.8,8.8,5.6
07623563XPvAibaEXe/GqyBZHXBWrpbQSsVrrRwi,5.5,5.4,5.5,6.4,7.0,5.5,9.3,5.9,5.9,5.4
076F6E85XPvAibaEXe9xO+RAnsxzcyXZYk2NOI1q,7.6,7.6,7.5,7.4,8.4,7.7,8.2,5.2,8.8,7.4
07817291XPvAibaEXe9ooDD4nQRYzs8lZ/giUy5g,7.8,8.3,8.7,8.8,9.1,9.5,9.3,8.4,9.5,7.5
0794602AXPvAibaEXe9QSg4kScpiFw8hbgm4ujwa,7.1,5.6,7.2,7.1,7.5,8.2,7.8,7.3,9.1,5.7
07948896XPvAibaEXe/GJ3MUiqGRmySlRSNe7s6R,5.6,6.3,4.1,6.3,7.1,5.0,8.2,6.9,5.4,5.5
079AC3CCXPvAibaEXe8UkZVD+5XbrMQZiu8kPWJs,6.5,5.4,6.6,5.1,5.9,6.4,5.2,7.6,7.2,6.4
079EAEDBXPvAibaEXe85hkLGQAJy3bkv6Jx+gOtD,8.0,6.8,7.4,8.0,8.1,8.3,6.6,7.0,6.0,5.0
07A6BB91XPvAibaEXe8xN1Ehxu1cbwH2ptHdj1dG,9.8,7.8,9.0,7.0,6.4,6.7,8.2,9.1,9.2,7.8
07B456DFXPvAibaEXe/Y5MNhmO/7o4jqDhK0hPph,8.1,7.1,5.9,6.8,6.1,7.8,6.9,5.2,7.5,7.5
07BAC9D6XPvAibaEXe9BRb1hYNmZ5kmfiOSuhJCu,8.3,7.3,5.6,6.8,7.2,6.2,7.9,8.4,7.5,8.7
07ECA8C7XPvAibaEXe8VQgmAEjfeNoN76PCifDde,6.8,9.6,7.0,8.5,7.9,6.2,5.5,8.8,7.6,8.7
07F0B649XPvAibaEXe9S6E9ioiUfBGwa4H6CUbKK,6.4,7.6,8.6,6.4,6.8,6.1,5.6,5.0,9.1,6.2
07F9A79EXPvAibaEXe/Tx838KM/cyg/z136edaYf,6.7,7.6,7.8,7.4,7.2,8.3,6.4,9.5,8.8,6.6
08067641XPvAibaEXe8Dld2HmzmH+mZhc7UPJjE8,6.6,9.2,8.1,7.4,8.2,8.6,9.6,8.8,7.6,7.1
080E5D29XPvAibaEXe8eipYZNlRNfjglv2AKu9ES,6.4,6.1,4.3,0.0,3.5,3.8,5.4,1.4,3.8,3.0
08182AD5XPvAibaEXe+3sZoWnetaj2dDhEcMJno9,5.7,6.7,5.4,5.1,7.6,5.2,5.7,7.4,8.2,5.4
08245B1BXPvAibaEXe/OS4eb0G5N4gR61g9w5JG8,7.0,8.1,5.4,5.4,6.6,7.9,6.6,8.9,9.3,5.0
