mssv,IT001,IT003,IT004,IT005,IT007,MA003,MA004,MA005,MA006,IT002
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,A,A,B,A,A,A,A,A,A,1
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,A,A,A,A,A,A,A,A,A,1
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,F,B,B,C,A,B,A,B,C,1
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,A,A,A,A,A,A,A,A,A,1
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,C,F,C,C,C,B,C,F,C,0
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,C,F,C,C,C,B,C,C,C,1
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,B,A,A,A,A,A,B,B,A,1
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,A,A,A,A,A,A,A,A,A,1
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,A,A,B,C,B,A,C,A,A,1
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,A,A,B,B,B,C,B,B,C,1
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,A,A,A,A,A,A,B,B,B,1
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,C,C,C,B,C,C,C,C,F,1
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,B,C,C,C,C,B,B,C,B,1
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,B,B,C,F,C,C,C,B,F,0
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,A,A,A,A,A,B,B,B,A,1
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,C,B,C,C,C,C,C,B,C,1
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,B,A,A,B,B,A,A,A,C,1
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,C,B,A,A,A,B,A,B,A,1
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,B,B,B,B,B,C,B,C,C,1
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,C,B,F,C,C,C,B,B,B,1
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,A,A,A,A,A,A,A,A,A,1
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,A,C,A,B,A,B,B,C,B,1
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,B,A,B,B,A,B,A,B,A,1
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,B,A,A,B,B,A,A,B,B,1
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,B,C,B,B,B,B,B,B,A,1
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,C,C,C,C,B,A,B,C,C,1
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,A,A,A,A,A,A,A,A,A,1
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,A,C,A,B,A,B,B,B,C,1
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,B,B,B,A,A,B,A,A,A,1
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,A,A,B,A,B,B,A,B,A,1
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,A,A,A,B,B,A,A,A,A,1
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,B,A,B,B,A,B,A,A,A,1
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,A,A,A,A,A,A,A,A,A,1
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,A,B,A,B,A,A,A,A,A,1
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,A,A,A,A,A,A,A,A,A,1
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,B,C,A,A,C,B,C,C,B,1
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,B,B,B,B,B,A,B,B,B,1
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,C,C,C,C,C,A,B,B,B,1
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,A,B,C,C,C,C,B,B,C,1
03FF368EXPvAibaEXe8JVGhFAfQ9U/upCLkDhtRc,A,A,B,C,B,A,A,B,A,1
0401F5D8XPvAibaEXe/33FMzfi5mea/1WCTgCGuE,A,A,C,A,B,B,B,B,A,1
0415BA59XPvAibaEXe/f/Q1bKxMyhFreBFnAqn32,C,B,C,B,B,B,C,A,A,1
041F7D4CXPvAibaEXe9lyNw7zdm99jpjj8mjiV3M,B,A,A,A,A,A,A,A,A,1
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,C,B,C,C,B,C,B,B,A,0
042F0E58XPvAibaEXe8p9EUNm1rzjknB/SCShuuv,A,F,B,B,F,F,C,B,B,0
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,C,A,A,B,B,A,C,A,A,1
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,B,B,B,C,C,C,C,B,C,1
0446F74EXPvAibaEXe8yiBl4rYjVW0cRgGdXUNYX,A,A,A,A,A,A,A,A,A,1
044CC105XPvAibaEXe9lyNw7zdm99sNZWsMMd7wW,B,C,C,C,C,C,B,C,B,1
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7,A,A,A,A,B,B,A,A,C,1
045412CEXPvAibaEXe+6wkETMZCyIZAB7oEBy8dg,B,B,B,A,A,A,B,A,A,1
0457DCC0XPvAibaEXe/CDMtnBauOUNMC60BG9GmS,A,A,B,B,A,B,B,A,C,1
045BA438XPvAibaEXe+2WNqGC1yvSPNgdEGhoQQx,B,A,A,B,A,A,A,A,A,1
0460817DXPvAibaEXe/57ZZLpsI5pdWpukWEzeJA,A,B,B,C,C,B,C,B,B,1
0463ACC3XPvAibaEXe+Ps8zYokGtSapa8Xbcuvzs,C,A,C,B,B,B,A,A,C,1
046DFC1EXPvAibaEXe8d5+4VMyfVsJ8BKuqNRrBF,B,A,B,B,A,B,A,A,A,1
04703EC6XPvAibaEXe+pyJpvsB6nZNTWzQVDye30,F,C,C,C,F,C,C,C,C,0
048FA4C0XPvAibaEXe87zPkGv/Pdbr2144f7+cX9,A,A,B,B,A,C,A,B,B,1
04937B4DXPvAibaEXe+KnWgScvZ27EaSNJL9HdvK,B,A,C,B,A,B,C,A,C,1
04989E41XPvAibaEXe86mMJZ3W/SqcY8mLHhMdwA,A,C,A,B,A,A,B,B,A,1
04993E46XPvAibaEXe/c+AA7R58MU9q6TAEVnxuT,A,A,A,A,A,A,A,A,A,1
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,B,A,A,B,B,B,A,A,C,1
049B1D99XPvAibaEXe+7yjglV2dMp28RxoCMvatp,B,B,A,B,A,C,A,A,C,1
04AEE489XPvAibaEXe9u8ftW5AKWETBFyE+T26n4,B,B,C,C,B,A,A,B,A,1
04BB5201XPvAibaEXe9wR386kYOWu9pD/KusWr/q,A,A,A,A,A,A,A,A,A,1
04C5C23BXPvAibaEXe8OUmHa5DLhUTJw8W+5VW8D,A,A,A,A,A,A,A,A,A,1
04C81950XPvAibaEXe/ly4CLNSveRDKW02PJnm/0,A,A,B,A,A,A,A,A,A,1
04CA893BXPvAibaEXe/SouBySQ9Uj8rioKR0JeF/,B,C,C,C,F,B,A,F,F,1
04CD33EBXPvAibaEXe++B0JyCbXA1LAC7v3DyD0t,A,C,A,B,B,C,A,C,B,1
04CDB750XPvAibaEXe81fV8vPRwD6JYmHnM75CHO,A,A,A,B,A,A,A,A,A,1
04E907A8XPvAibaEXe+duwZbUJ/33VkSKofqHhHZ,A,A,A,A,A,A,A,A,A,1
04FDAA30XPvAibaEXe/Md8T4y692B3u2dfN+Z+ox,F,F,F,F,C,F,F,C,C,1
0503FE6BXPvAibaEXe/el9TRAKM7gRqt8tonkLHU,C,B,C,C,F,C,C,C,B,1
05088522XPvAibaEXe8Fsd3dnKA7Bc1+6v7wPmGw,C,C,A,B,A,B,A,A,B,1
052DD070XPvAibaEXe915NmCViXOMIckuNlCM3i6,B,C,C,B,C,C,A,B,C,1
0530224EXPvAibaEXe8Dld2HmzmH+kCtWglGcaLd,A,A,A,A,A,A,A,B,A,1
054AFCA2XPvAibaEXe8iDpfibljbVA5Sfr30nHDC,A,A,A,A,A,A,A,A,A,1
055BAF5DXPvAibaEXe/0VyaRB0LQpI2nprMmUPej,A,A,A,A,B,A,A,A,A,1
0571BDDAXPvAibaEXe8zN2KKhdLFutRJ2ofD5gnd,C,C,A,C,B,C,B,B,B,1
0572F12EXPvAibaEXe80CrbkBDr5tWwm+CyP6i8i,B,A,A,B,A,B,A,B,C,1
05788578XPvAibaEXe/QkTB1xN5MPFI5BYaSFqcG,A,A,A,A,A,A,A,B,A,1
058F3258XPvAibaEXe+q0E3QguGBpZhJA/lqgre3,A,C,A,B,B,A,C,A,B,1
0597247FXPvAibaEXe+NyYotv4FWdZdBHNs2i/Tz,B,F,A,B,C,A,A,B,A,0
05A4E85BXPvAibaEXe+6dFHuhEUn/rcqr3jRvGcp,A,B,A,B,A,A,B,B,A,1
05C14B33XPvAibaEXe8iOnzuCL8V+Iz8A3Kq02hS,A,C,B,B,A,B,B,C,B,1
05DB198AXPvAibaEXe/GvjCS9SJu0T1XKIlvK8Wd,A,A,B,A,A,A,A,A,A,1
05E17E2BXPvAibaEXe/RTfMBxsNERftZF2fTACpt,A,A,B,B,A,A,B,A,A,1
05EE77E5XPvAibaEXe+fBpTg8OXousIA2IYzVnHo,B,A,A,A,A,A,A,A,B,1
05F1A443XPvAibaEXe+HLUCsScXdBrz7llnxuYa4,B,B,C,B,C,B,C,B,B,1
05FB97EDXPvAibaEXe+1n9LzrMgTlwuXodOCiGW6,F,C,C,C,F,F,B,F,C,0
061D03BCXPvAibaEXe91UcttbrYag6MuRitfVOUg,A,F,A,C,F,C,C,C,C,1
0624DFA3XPvAibaEXe/PfwiDaLddEgIUBZJiTywN,C,F,F,C,B,C,F,B,A,0
06251B58XPvAibaEXe+ywvHYTnIXuL2YQZYUxAEG,B,C,C,C,C,B,B,B,B,0
06263756XPvAibaEXe9tEkXNWDh2mnSTognW2I29,B,B,A,B,A,B,B,A,A,1
062A7C5DXPvAibaEXe9sM5Z76WtjcyvdxUCpINfg,A,A,A,B,B,A,A,A,A,1
063FA88DXPvAibaEXe+ItThaeWSaTndzLvy0hCWF,A,A,A,B,A,C,B,C,C,1
064389C5XPvAibaEXe9RaPDysYOKrMtjiEUbiJCc,A,A,A,B,A,A,A,B,A,1
064464DAXPvAibaEXe8JyzRlwVelIy8hQn+xxXDa,A,A,A,B,A,A,A,A,A,1
064F9755XPvAibaEXe/GEP39G15BdU1hEsk0HGhQ,B,C,C,B,B,B,B,B,B,1
0653BDF3XPvAibaEXe9YgNnR0JxPhVp7ceoQS10H,B,C,A,C,B,C,C,A,B,1
067C9634XPvAibaEXe8m7ybKj0ITr1/SgC/4nnRo,A,B,B,B,A,C,A,B,B,1
0691AA94XPvAibaEXe++R9hzjt1s7wndXGR/a0YH,C,C,B,B,C,A,A,C,C,1
0693A653XPvAibaEXe//vGIJhS4ZeCniAFwythOe,A,C,F,C,F,A,C,B,A,1
06942BB3XPvAibaEXe9F+oU8wuNbqO0ZSSBkHohm,C,B,C,C,B,B,B,A,A,1
06B1E339XPvAibaEXe+9uXUaDIzyiCvG6Z0IL8M6,A,B,B,A,B,A,B,B,B,1
06D33082XPvAibaEXe8srAaK3cpz/7AD31CqVMfx,A,A,C,B,C,C,A,A,B,1
06D413B1XPvAibaEXe+3bWVxnzRRwNg6g5IkrIob,A,A,C,C,C,A,A,B,C,1
06DEC3FFXPvAibaEXe/twT+sf632fctdpzTwNzBW,A,B,C,C,B,B,B,B,A,1
06EAC365XPvAibaEXe/4brcB/U30UuVMaZ98a2m1,B,C,C,B,C,C,C,C,C,1
06F130EDXPvAibaEXe96mG7+vayRPjKbnr1Br6bi,A,A,A,B,B,A,B,A,A,1
07041016XPvAibaEXe+iIJOpfrvDw0cyN3jgSrMf,B,B,C,B,B,B,A,A,A,1
07069D8FXPvAibaEXe+IUXdezTp2c1S1SSP0JNZK,A,A,B,A,B,A,A,A,B,1
0718948FXPvAibaEXe9HkCcrMxoMGZDQ7OJk9EOZ,B,A,A,A,A,A,A,A,A,1
071ED53EXPvAibaEXe90z1QOLCQ2gtGCVejLRT52,A,B,A,A,A,A,A,A,A,1
07361D61XPvAibaEXe+RuJt6KkmrDMU9KkGea7Z9,B,A,A,B,A,B,A,B,A,1
07368C8DXPvAibaEXe9tEkXNWDh2mm8KSYXhI9TW,C,B,C,B,B,C,B,A,B,1
073CCB16XPvAibaEXe+Fy1phPq2H8pTMzaqE19dh,B,B,B,A,B,B,A,C,C,1
07401B1CXPvAibaEXe+g4Lk2o86SJ077zo0VZ566,A,A,A,A,A,B,A,A,A,1
0747BAEDXPvAibaEXe+iM+1kwvQGhP2U/PHYntkn,B,B,B,B,A,A,B,B,B,1
074D6770XPvAibaEXe8XtTI6VHhlKNbBRQvxJav8,C,B,C,C,B,C,B,C,C,1
075D9A76XPvAibaEXe9tfuiDUlISNF0foU5mrvy9,A,B,B,C,B,A,B,A,A,1
07608346XPvAibaEXe/baq/wvVlH/ioEKQZTR4v2,B,B,B,A,B,A,A,A,A,1
07623563XPvAibaEXe/GqyBZHXBWrpbQSsVrrRwi,C,C,C,C,B,C,A,C,C,1
076F6E85XPvAibaEXe9xO+RAnsxzcyXZYk2NOI1q,B,B,B,B,A,B,A,C,A,1
07817291XPvAibaEXe9ooDD4nQRYzs8lZ/giUy5g,B,A,A,A,A,A,A,A,A,1
0794602AXPvAibaEXe9QSg4kScpiFw8hbgm4ujwa,B,C,B,B,B,A,B,B,A,1
07948896XPvAibaEXe/GJ3MUiqGRmySlRSNe7s6R,C,C,F,C,B,C,A,B,C,1
079AC3CCXPvAibaEXe8UkZVD+5XbrMQZiu8kPWJs,B,C,B,C,C,C,C,B,B,1
079EAEDBXPvAibaEXe85hkLGQAJy3bkv6Jx+gOtD,A,B,B,A,A,A,B,B,C,1
07A6BB91XPvAibaEXe8xN1Ehxu1cbwH2ptHdj1dG,A,B,A,B,C,B,A,A,A,1
07B456DFXPvAibaEXe/Y5MNhmO/7o4jqDhK0hPph,A,B,C,B,C,B,B,C,B,1
07BAC9D6XPvAibaEXe9BRb1hYNmZ5kmfiOSuhJCu,A,B,C,B,B,C,B,A,B,1
07ECA8C7XPvAibaEXe8VQgmAEjfeNoN76PCifDde,B,A,B,A,B,C,C,A,B,1
07F0B649XPvAibaEXe9S6E9ioiUfBGwa4H6CUbKK,C,B,A,C,B,C,C,C,A,1
07F9A79EXPvAibaEXe/Tx838KM/cyg/z136edaYf,B,B,B,B,B,A,C,A,A,1
08067641XPvAibaEXe8Dld2HmzmH+mZhc7UPJjE8,B,A,A,B,A,A,A,A,B,1
080E5D29XPvAibaEXe8eipYZNlRNfjglv2AKu9ES,C,C,F,F,F,F,C,F,F,0
08182AD5XPvAibaEXe+3sZoWnetaj2dDhEcMJno9,C,B,C,C,B,C,C,B,A,1
08245B1BXPvAibaEXe/OS4eb0G5N4gR61g9w5JG8,B,A,C,C,B,B,B,A,A,1
082BFDC5XPvAibaEXe8w1z3B0Nfbk8u35dHToArE,C,F,A,B,A,A,A,A,A,0
0835A296XPvAibaEXe+WyjAMa+c6gl9Iw5QpdaDA,A,F,F,C,B,B,C,F,B,0
083A7395XPvAibaEXe+QctIYCWb8TDKLqdRGe1ks,F,F,F,F,F,C,C,C,C,0
0843D042XPvAibaEXe9xLAZM12QrYP2pbxIquXL1,A,A,A,A,A,B,A,A,A,1
08624366XPvAibaEXe80F7xvyMuvyPVvrG7GXaRO,A,A,A,A,A,A,A,A,A,1
0862B608XPvAibaEXe9i7Lm5hcsAnxxUOt0fMFu4,A,B,A,B,A,A,A,A,A,1
0869AC1AXPvAibaEXe9puzAyruoCKS8Bvkqa7arm,B,B,B,B,A,A,B,A,B,1
086DF147XPvAibaEXe/q/d6S7LoUw4tVaLlsfE7p,B,B,C,C,C,A,B,C,A,1
08782EBCXPvAibaEXe9zVZKaStZ09MV9x0bcbU8i,B,B,A,B,A,A,A,A,A,1
087F9635XPvAibaEXe+FH4ihHxkt6fl0rux3/xah,A,A,A,A,A,A,A,A,A,1
088611CDXPvAibaEXe+y9Z7iOH0a5LT21fktdHMZ,B,F,B,B,B,A,A,A,B,1
0886B112XPvAibaEXe9nkv6/o6b5EZOqnlwcizGv,A,A,A,A,A,A,A,A,A,1
088B76A4XPvAibaEXe8wj1bWOnrKYQKrIGLhaxdW,B,A,C,B,A,B,B,A,A,1
089DDED5XPvAibaEXe9ev1y8S3u0zJ9MuVADX9qd,B,A,A,B,A,B,A,B,A,1
089EAE6CXPvAibaEXe80F7xvyMuvyGDMD16yBhIm,A,A,B,B,A,B,A,A,A,1
08B2C14EXPvAibaEXe/nw3DhNQnHf02cfEIDMqEZ,B,A,B,B,B,C,B,B,C,1
08C31EA1XPvAibaEXe9S88+OcosOZqnTmRMU0jY6,B,B,C,B,C,C,B,B,A,1
08CBD18EXPvAibaEXe+rucNIMwNDA5sDARWnhseX,C,F,F,F,B,F,F,B,F,0
08CC6C51XPvAibaEXe8EJVSfQ2zj46hwCkdNcB96,C,B,B,B,B,B,B,A,A,1
08E0A92DXPvAibaEXe/PrIR+BvN04TEVtyCQ5wQy,A,A,A,A,A,A,A,A,A,1
08ED07F3XPvAibaEXe8LH8F9PEYD5e48wGuSyRKU,A,A,A,A,B,A,A,A,A,1
08F35A6DXPvAibaEXe9Vh8FJ4R+4oW19SLv2wQSP,A,A,A,B,A,A,A,B,A,1
08F7EA47XPvAibaEXe85qP6RA1XpqnfXLLiqhSVu,B,F,A,C,C,C,C,B,C,1
08FD0214XPvAibaEXe9tz4fJBCYpd4XpFyTLbc7r,B,C,F,F,F,F,F,C,F,0
08FD8863XPvAibaEXe+DniE7HQhZziH82X2C3hNu,A,A,A,B,A,A,A,B,A,1
090FCB02XPvAibaEXe9gkNN06c3nLQLIoItIEhOF,A,A,A,A,A,A,A,A,A,1
09136C26XPvAibaEXe8Wb350a8ibngGn7z1HgeSI,C,A,A,B,B,B,C,B,A,1
091FB345XPvAibaEXe9ro8CnHiMdMf0VnLAJKgsS,A,B,C,B,C,B,A,B,A,1
09238D06XPvAibaEXe+M91Hzrx3qMP7qlUOm2nUh,A,B,A,C,A,C,A,A,A,1
09241D2EXPvAibaEXe+0Dwp+QXLoYjcQFAwpo9Qj,A,A,B,A,B,A,A,C,B,1
092B0611XPvAibaEXe/MiYlGBnfqwxeQheHROhno,A,A,A,A,A,A,A,A,B,1
09429711XPvAibaEXe8WrK/T746TF/BjmWxpsXTa,B,A,A,B,A,C,B,B,A,1
0961B3C3XPvAibaEXe/U36FI9OTo3ZILGRc5nd+M,B,B,B,C,B,A,B,A,B,1
096E14B9XPvAibaEXe+b/3AZFelvL+xMOTwroTmR,C,B,C,B,C,B,A,C,A,1
09792F8AXPvAibaEXe/EbCJQv4uheBJq+S2/WJDS,A,A,A,A,A,A,A,A,A,1
09931C7FXPvAibaEXe/dYcwBMKwcl7sX3yx1mZX7,A,A,B,B,B,A,A,A,A,1
09C25251XPvAibaEXe+YJRASjo8CNMujsy3gwYqm,A,A,A,B,B,A,A,A,A,1
09C5F90EXPvAibaEXe++P1Ki321T8WzWUflk+Nbj,A,A,A,B,B,B,A,A,A,1
09D1E4FDXPvAibaEXe8JWtGEakXx02sNszmwsxan,B,A,C,C,B,A,A,A,A,1
09DE3A51XPvAibaEXe/GEP39G15BdRSEDU3D3+LV,C,B,C,C,C,A,B,C,C,1
09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4,C,C,C,C,C,C,B,B,B,1
09EB196CXPvAibaEXe8p9EUNm1rzju5Q0NrYf1kY,A,B,C,B,B,A,C,B,B,1
09F0A19FXPvAibaEXe8++PXLWOU+ZFbW3spLmz/c,B,A,B,B,B,C,B,A,B,1
09F70DDEXPvAibaEXe8iJ6xNoa85bmrJR3p9zQD3,C,C,C,C,B,B,B,B,B,1
0A0624B8XPvAibaEXe9CtFSNMbfIz13+0RDE3Ypj,B,C,B,A,B,C,A,B,C,1
0A07B854XPvAibaEXe9lS7ZPzPt7VLSgGLCh/mhV,A,A,A,A,A,A,A,A,A,1
0A200A20XPvAibaEXe/Yd5khqDzvKFqSmuEwx/ba,B,C,A,A,A,C,B,A,B,1
0A292988XPvAibaEXe/5JaXZuY2MgMLfLQn4Ny7B,A,A,A,B,A,C,A,A,A,1
0A2BAED8XPvAibaEXe9agUz/x4Y2HrxHyX4wDH4m,B,A,A,A,A,A,A,A,A,1
0A2E8D02XPvAibaEXe+HozZBb+7rZ38QviMj8FHH,C,B,C,B,C,C,C,B,A,1
0A324E05XPvAibaEXe/4brcB/U30UnHXS3+h8gPy,B,C,B,A,B,B,A,B,A,1
0A4E80D9XPvAibaEXe+U9ZkhoRAmyv0ZSlRKu8cn,A,A,A,A,A,A,A,A,A,1
0A69D9BBXPvAibaEXe/yTqQKv0UsdQB4zgad4eTm,B,A,A,A,A,C,A,A,A,1
0A73079AXPvAibaEXe+KaiYHkmXYCa8n8sqo2JAo,A,C,C,F,C,C,F,F,F,0
0A760F8CXPvAibaEXe/31hnRTOuccl9lZapWa2UM,B,F,F,C,F,F,F,F,C,0
0A908E06XPvAibaEXe/V92w6Vxv2r+Oj7xXUTRvt,B,B,C,B,C,B,C,A,B,1
0AA9CE52XPvAibaEXe/k16nYNlOi0aIXMSL7mown,C,B,A,B,C,C,B,B,A,1
0AAA839BXPvAibaEXe/pnXUIwMJHJvaSCkrHWZjB,B,C,C,C,C,C,C,C,C,1
0ABFC955XPvAibaEXe+QXV6QJP/7hNRJwYN/Fp4e,A,A,A,A,A,A,A,A,A,1
0AC1DB62XPvAibaEXe9G0KjvrV48k+gBRzqM9XbW,B,F,F,B,C,C,B,F,B,0
0AC3D7F9XPvAibaEXe//3t8+us0X0rXqlaSwbAVq,A,C,B,B,C,A,A,C,C,1
0ACCE1C5XPvAibaEXe8oz3/loyZiHLWx0e1WRRc8,A,A,A,A,A,A,A,A,A,1
0AD8844BXPvAibaEXe9Xj8SSEVd/jfkg3jfYtK/N,A,A,A,A,A,B,B,A,A,1
0AEAD120XPvAibaEXe/Ep1mHRpPbrFEpTM7VKF8G,F,F,F,F,F,C,F,C,F,0
0B09A72FXPvAibaEXe/8adMMWxG4mXKjtkhKc56U,A,A,A,B,A,A,B,A,A,1
